ID,頭文字,品目名,item_name,小型家電回収対象,出し方,category,出し方のポイント,point,品目名_output,item_name_output,完全一致1,完全一致2,完全一致3
1341,し,診察券,patient registration card,,燃やすごみ,Burnable garbage,紙製のものは古紙(雑誌・その他の紙)へ。,"For paper, go to the used paper (magazine / other paper).",診察券,Patient registration card,patient registration card,nan,nan
1342,し,シューズケース・シューズバッグ,shoes case / shoe bag,,燃やすごみ,Burnable garbage,,,シューズケース・シューズバッグ,Shoes case / shoe bag,shoes case / shoe bag,nan,nan
1343,し,車輪止め(金属製),wheel chock (metal),,小さな金属類,Small metal items,30cm以上のものは粗大ごみへ。,"If you are 30cm or more, go to oversized garbage.",車輪止め(金属製),Wheel stop (metal),wheel stop (metal),nan,nan
1344,し,車輪止め(木製・ゴム製),wheel chock (wooden / rubber),,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみへ。,"If it is more than 50cm, go to the oversized garbage.",車輪止め(木製・ゴム製),Wheel stops (wooden / rubber),wheel stops (wooden / rubber),nan,nan
1345,し,消毒液などのボトル(プラスチック製),bottle such as disinfectant (made of plastic),,プラスチック製容器包装,Plastic containers and packaging,ガラス製のものは燃えないごみへ。,Glass is to non -burnable garbage.,消毒液などのボトル(プラスチック製),Bottle such as disinfectant (made of plastic),bottle such as disinfectant (made of plastic),nan,nan
1346,し,証書ホルダー,certificate holder,,燃やすごみ,Burnable garbage,全体が紙製のものは古紙(雑誌・その他の紙)へ。,"If the whole is made of paper, go to the used paper (magazine / other paper).",証書ホルダー,Certificate holder,certificate holder,nan,nan
1347,し,収縮棚,shrinking shelf,,粗大ごみ,Oversized garbage,,,収縮棚,Shrinking shelves,shrinking shelves,nan,nan
1348,し,シーリングファン,ceiling fan,,粗大ごみ,Oversized garbage,,,シーリングファン,Ceiling fan,ceiling fan,nan,nan
1349,し,シェイカー,shaker,,小さな金属類,Small metal items,プラスチック製のものは燃やすごみへ。,Plastic ones are to burn garbage.,シェイカー,Shaker,shaker,nan,nan
1350,し,ジョイスティック,joystick,◎,燃やすごみ,Burnable garbage,充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。,"Pull out the rechargeable battery. The rechargeable battery goes to the collection cooperating store. If the rechargeable battery cannot be removed, put it in a bag different from other Burnable garbage.",ジョイスティック,Joystick,joystick,nan,nan
1351,し,遮音シート,sound insulation sheet,,燃やすごみ,Burnable garbage,,,遮音シート,Sound insulation sheet,sound insulation sheet,nan,nan
1352,し,シルバーカー,silver car,,粗大ごみ,Oversized garbage,,,シルバーカー,Silver car,silver car,nan,nan
1353,し,真空管,vacuum tube,,燃えないごみ,Non-burnable garbage,,,真空管,Vacuum tube,vacuum tube,nan,nan
1354,し,磁気マット,magnetic mat,,粗大ごみ,Oversized garbage,,,磁気マット,Magnetic mat,magnetic mat,nan,nan
1355,し,尺八,shakuhachi,,粗大ごみ,Oversized garbage,,,尺八,Shakuhachi,shakuhachi,nan,nan
1356,し,絞り器(金属製),aquarium (metal),,小さな金属類,Small metal items,プラスチック製のものは燃やすごみへ。,Plastic ones are to burn garbage.,絞り器(金属製),Aquarium (metal),aquarium (metal),nan,nan
1358,し,仕掛け網,trap net,,粗大ごみ,Oversized garbage,事業で排出するものは、事業系ごみ、家庭から出たもので50cm以下のものは燃やすごみへ。,"What to be excreted in the business is a business garbage, and the one that comes out of the family is 50cm or less for the Burnable garbage.",仕掛け網,Trick network,trick network,nan,nan
1359,し,シャンプーハット、帽子、ぼうし,shampoo hat /cap,,燃やすごみ,Burnable garbage,,,シャンプーハット,Shampoo hat,shampoo hat,nan,nan
1360,し,消臭シート、制汗シート,deodorant sheet /antiperspirnt sheet,,燃やすごみ,Burnable garbage,,,消臭シート,Deodorant sheet,deodorant sheet,nan,nan
1361,し,自動車プラグ,car plug /automotive plug,,小さな金属類,Small metal items,,,自動車プラグ,Car plug,car plug,nan,nan
1362,し,シートベルト,seat belt,,燃やすごみ,Burnable garbage,,,シートベルト,Seat belt,seat belt,nan,nan
1363,し,ジェルパッド,gel pad,,燃やすごみ,Burnable garbage,,,ジェルパッド,Gel pad,gel pad,nan,nan
1364,し,シューズキーパー,shoe keeper,,燃やすごみ,Burnable garbage,,,シューズキーパー,Shoe keeper,shoe keeper,nan,nan
1365,し,シュリンク,shrink,,プラスチック製容器包装,Plastic containers and packaging,製品として購入したものは、燃やすごみへ。,What you purchased as a product is to the Burnable garbage.,シュリンク,Shrink,shrink,nan,nan
1366,し,シルバーカート,silver cart,,粗大ごみ,Oversized garbage,,,シルバーカート,Silver cart,silver cart,nan,nan
1367,し,食器棚シート,cupboard sheets,,燃やすごみ,Burnable garbage,,,食器棚シート,Cupboard seat,cupboard seat,nan,nan
1368,し,シルバークリーナー(びん),silver cleaner (bin),,燃えないごみ,Non-burnable garbage,,,シルバークリーナー(びん),Silver cleaner (bin),silver cleaner (bin),nan,nan
1369,し,シルバークリーナー(プラスチック製),silver cleaner (made of plastic),,プラスチック製容器包装,Plastic containers and packaging,,,シルバークリーナー(プラスチック製),Silver cleaner (made of plastic),silver cleaner (made of plastic),nan,nan
1370,し,重曹,baking soda,,燃やすごみ,Burnable garbage,,,重曹,baking soda,baking soda,nan,nan
1372,し,ジャンピングホッパー,jumping hopper,,粗大ごみ,Oversized garbage,,,ジャンピングホッパー,Jumping hopper,jumping hopper,nan,nan
1373,し,飼育ケース(プラスチック製・木製)、虫かご,breeding case (plastic / wooden),,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみへ、ガラス製のものは燃えないごみへ。,"Those with 50cm or more are oversized garbage, and glasses are not burned.",飼育ケース(プラスチック製・木製),Breeding case (plastic、 wooden),breeding case (plastic、 wooden),nan,nan
1374,し,書道箱、習字,calligraphy box,,燃やすごみ,Burnable garbage,,,書道箱,Calligraphy box,calligraphy box,nan,nan
1375,し,遮光ネット,shading net,,燃やすごみ,Burnable garbage,,,遮光ネット,Shading net,shading net,nan,nan
1376,し,上質紙,high-quality paper,,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),,,上質紙,High-quality paper,high-quality paper,nan,nan
1377,し,新聞ストッカー、新聞入れ,newspaper stocker,,燃やすごみ,Burnable garbage,,,新聞ストッカー,Newspaper stocker,newspaper stocker,nan,nan
1378,し,シェルフ、棚,shelf,,粗大ごみ,Oversized garbage,木製・プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ。,Made of wooden and plastic and less than 50cm to Burnable garbage. Metal and less than 30cm to Small metal itemss.,シェルフ,Shelf,shelf,nan,nan
1379,し,写真パネル,photo panel,,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみへ。,"If it is more than 50cm, go to the oversized garbage.",写真パネル,Photo panel,photo panel,nan,nan
1381,し,食卓カバー,dining cover,,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみへ。,"If it is more than 50cm, go to the oversized garbage.",食卓カバー,Dining cover,dining cover,nan,nan
1382,し,食品包装(プラスチック製),cover food packaging (made of plastic),,プラスチック製容器包装,Plastic containers and packaging,個包装・小包装も対象。,Individual packaging and small packaging are also eligible.,食品包装(プラスチック製),Food and packaging (made of plastic),food and packaging (made of plastic),nan,nan
1383,し,自転車用バッテリー,bicycle battery,,販売店か回収協力店または収集事務所,Dealer、 collection cooperation store or collection office,"回収協力店は<a href=""https://www.jbrc.com/general/recycle_kensaku/"">一般社団法人JBRCのホームページ</a>で検索するか、<a href=""https://www.city.yokohama.lg.jp/kurashi/sumai-kurashi/gomi-recycle/shokai/jimusho/jimusho.html"">収集事務所</a>にご相談ください。※収集車の火災の原因となるため、集積場所に出さないでください。","For collection partners, search <ahref=""https://www.jbrc.com/general/recycle_kensaku/"">JBRC website</a> or <ahref=""https://www.city Please contact .yokohama.lg.jp/kurashi/sumai-kurashi/gomi-recycle/shokai/jimusho/jimusho.html"">collection office</a>. *Please do not dispose of garbage at the collection point as it may cause the collection vehicle to catch fire.",自転車用バッテリー,Bicycle battery,bicycle battery,nan,nan
1384,し,真空パック機、真空パック,vacuum pack machine,,燃やすごみ,Burnable garbage,,,真空パック機,Vacuum pack machine,vacuum pack machine,nan,nan
1385,し,シールの台紙,seal mount,,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),,,シールの台紙,Seal mount,seal mount,nan,nan
1386,し,磁石入絆創膏,adhesive plaster with magnet,,燃やすごみ,Burnable garbage,,,磁石入絆創膏,Magnet entry bandage,magnet entry bandage,nan,nan
1387,し,自転車のベル、ベル,bicycle bell,,小さな金属類,Small metal items,プラスチック製のものは燃やすごみへ。,Plastic ones are to burn garbage.,自転車のベル,Bicycle bell,bicycle bell,nan,nan
1388,し,消臭剤(エアゾール缶),deodorant (air zole can),,スプレー缶,Spray cans,"中身を使い切って 穴はあけない。キャップはプラスチック製容器包装へ。中身が出せなくなったものについては<a href=""http://www.city.yokohama.lg.jp/shigen/sub-soshiki/jimusho/"">収集事務所</a>に相談。",,消臭剤(エアゾール缶),Deodorant (air zole can),deodorant (air zole can),nan,nan
1389,し,自転車のチェーン、チェーン,bicycle chain,,小さな金属類,Small metal items,,,自転車のチェーン,Bicycle chain,bicycle chain,nan,nan
1390,し,自転車のフレーム,bicycle frame,,粗大ごみ,Oversized garbage,30cm未満のものは小さな金属類へ。,Those with less than 30cm to Small metal itemss.,自転車のフレーム,Bicycle frame,bicycle frame,nan,nan
1391,し,しおり(紙製)、栞(紙製),bookmark (made of paper),,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),,,しおり(紙製),Bookmark (made of paper),bookmark (made of paper),nan,nan
1392,し,しおり(金属製)、栞(金属製),bookmark (made of metal),,小さな金属類,Small metal items,,,しおり(金属製),Bookmark (made of metal),bookmark (made of metal),nan,nan
1393,し,しおり(木製・プラスチック製)、栞(木製・プラスチック製,bookmarks (wooden / plastic),,燃やすごみ,Burnable garbage,,,しおり(木製・プラスチック製),Bookmarks (wooden / plastic),bookmarks (wooden / plastic),nan,nan
1394,し,シャボン玉液容器,soap bubble liquid volume,,プラスチック製容器包装,Plastic containers and packaging,,,シャボン玉液容器,Soap bubble liquid container,soap bubble liquid container,nan,nan
1395,し,書道下敷き,calligraphy underlay,,燃やすごみ,Burnable garbage,,,書道下敷き,Calligraphy,calligraphy,nan,nan
1396,し,背負子,backpack,,粗大ごみ,Oversized garbage,,,背負子,Paddy child,paddy child,nan,nan
1397,し,シャボン玉ストロー,soap bubble straw,,燃やすごみ,Burnable garbage,,,シャボン玉ストロー,Soap bubble straw,soap bubble straw,nan,nan
1398,し,シューズスタンド,shoe stand,,粗大ごみ,Oversized garbage,,,シューズスタンド,Shoe stand,shoe stand,nan,nan
1399,し,消毒液などのボトル(ガラス製),bottle such as disinfectant (made of glass) /bottle of antiseptic solution(made of glass),,燃えないごみ,Non-burnable garbage,,,消毒液などのボトル(ガラス製),Bottle such as disinfectant (made of glass),bottle such as disinfectant (made of glass),nan,nan
1400,し,シェービングジェルの容器、髭剃りジェルの容器,shaving gel container,,プラスチック製容器包装,Plastic containers and packaging,ガラス瓶のものは燃えないごみ。,Garbage that does not burn.,シェービングジェルの容器,Shaving gel container,shaving gel container,nan,nan
1401,し,磁気ネックレス,magnetic necklace,,燃やすごみ,Burnable garbage,,,磁気ネックレス,Magnetic necklace,magnetic necklace,nan,nan
1402,し,自転車のライト、ヘッドライト,bicycle light /headlight,,燃やすごみ,Burnable garbage,,,自転車のライト,Bicycle light,bicycle light,nan,nan
1404,し,シンバルスタンド,cymbal stand,,粗大ごみ,Oversized garbage,,,シンバルスタンド,Cymbal stand,cymbal stand,nan,nan
1405,し,商品券、金券,gift certificates /cash,,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),,,商品券,Gift certificates,gift certificates,nan,nan
1406,し,庭園灯(金属製),garden light (metal),,粗大ごみ,Oversized garbage,30cm未満のものは小さな金属類へ。,Those with less than 30cm to Small metal itemss.,庭園灯(金属製),Garden light (metal),garden light (metal),nan,nan
1407,し,庭園灯(プラスチック製),garden light (made of plastic),,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみへ。,"If it is more than 50cm, go to the oversized garbage.",庭園灯(プラスチック製),Garden light (made of plastic),garden light (made of plastic),nan,nan
1408,し,シガレットケース(金属製)、たばこ入れ(金属製),cigarette case (metal),,小さな金属類,Small metal items,木製・プラスチック製・革製のものは燃やすごみへ。,"Wooden, plastic, and leather are to burn garbage.",シガレットケース(金属製),Cigarette case (metal),cigarette case (metal),nan,nan
1409,し,芝刈り機(ハンディタイプ),lawn mower (handy type),,燃やすごみ,Burnable garbage,刃は外して小さな金属類へ。,Remove the blade to Small metal itemss.,芝刈り機(ハンディタイプ),Lawn mower (handy type),lawn mower (handy type),nan,nan
1410,し,食器(プラスチック製),tableware (made of plastic),,燃やすごみ,Burnable garbage,,,食器(プラスチック製),Tableware (made of plastic),tableware (made of plastic),nan,nan
1411,し,字消し板,eraser board,,小さな金属類,Small metal items,プラスチック製のものは燃やすごみへ。,Plastic ones are to burn garbage.,字消し板,Character eraser,character eraser,nan,nan
1412,し,食品容器(プラスチック製),food container (made of plastic),,プラスチック製容器包装,Plastic containers and packaging,,,食品容器(プラスチック製),Food container (made of plastic),food container (made of plastic),nan,nan
1413,し,焼酎サーバー(陶器製),shochu server (made of pottery),,燃えないごみ,Non-burnable garbage,50cm以上のものは粗大ごみへ。,"If it is more than 50cm, go to the oversized garbage.",焼酎サーバー(陶器製),Shochu server (made of pottery),shochu server (made of pottery),nan,nan
1414,し,ジャムの紙容器,jam paper container /jam paper carton,,燃やすごみ,Burnable garbage,,,ジャムの紙容器,Jam paper container,jam paper container,nan,nan
1416,し,受信ブースター,receiving booster,◎,燃やすごみ,Burnable garbage,金属製のものは小さな金属類へ。,Metal ones go to Small metal itemss.,受信ブースター,Receiving booster,receiving booster,nan,nan
1417,し,定規(金属製)、ものさし(金属製),boster ruler(metal),,小さな金属類,Small metal items,,,定規(金属製),A ruler (metal),a ruler (metal),nan,nan
1418,し,刺しゅう枠(木・プラスチック製),embroidery frame (made by thursday / plastic),,燃やすごみ,Burnable garbage,,,刺しゅう枠(木・プラスチック製),Embroidery frame (made by Thursday / Plastic),embroidery frame (made by thursday / plastic),nan,nan
1419,し,刺しゅう枠(金属製),embroidery frame (metal),,小さな金属類,Small metal items,,,刺しゅう枠(金属製),Embroidery frame (metal),embroidery frame (metal),nan,nan
1420,し,シュレッダー(電動:プラスチック製),shredder (electric: plastic),◎,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみへ。,"If it is more than 50cm, go to the oversized garbage.",シュレッダー(電動:プラスチック製),Shredder (electric: plastic),shredder (electric: plastic),nan,nan
1421,し,シャーレ(ガラス製),share (made of glass) /petri dish(made of glass),,燃えないごみ,Non-burnable garbage,,,シャーレ(ガラス製),Share (made of glass),share (made of glass),nan,nan
1422,し,シャーレ(金属製),share (made of metal) /petri dish(made of metal),,小さな金属類,Small metal items,,,シャーレ(金属製),Share (made of metal),share (made of metal),nan,nan
1423,し,シャーレ(プラスチック製),share (made of plastic) /petri dish(made of plastic),,燃やすごみ,Burnable garbage,,,シャーレ(プラスチック製),Share (made of plastic),share (made of plastic),nan,nan
1424,し,収納ボックス(段ボール製),storage box (made of cardboard),,古紙（段ボール）,Used paper (cardboard),つぶして、取っ手などははずす。,Crush and remove the handle.,収納ボックス(段ボール製),Storage box (made of cardboard),storage box (made of cardboard),nan,nan
1425,し,自動車用カバー、自動車カバー,car cover,,燃やすごみ,Burnable garbage,折りたたんで50cm以上のものは粗大ごみへ。,Fold it to over 50 cm to oversized garbage.,自動車用カバー,Car cover,car cover,nan,nan
1426,し,磁気ガード用金属シート,metal sheet for magnetic guard,,小さな金属類,Small metal items,アルミ製のものは燃やすごみへ。,Aluminum is to burn Burnable garbage.,磁気ガード用金属シート,Magnetic guard metal sheet,magnetic guard metal sheet,nan,nan
1427,し,しゃもじ(金属製),shamoji (metal) /rice scoop(metal),,小さな金属類,Small metal items,,,しゃもじ(金属製),Shamoji (metal),shamoji (metal),nan,nan
1428,し,ジャッキスタンド,jack stand,,小さな金属類,Small metal items,30cm以上のものは粗大ごみへ。,"If you are more than 30 cm, go to the oversized garbage.",ジャッキスタンド,Jack stand,jack stand,nan,nan
1429,し,食品の個別包装紙,food wrappers,,燃やすごみ,Burnable garbage,油を含んだ紙や汚れた紙、においのついた紙など。きれいな紙は古紙へ。,"Oil -containing paper, dirty paper, smelled paper, etc. Beautiful paper goes to the used paper.",食品の個別包装紙,Individual wrapping paper of food,individual wrapping paper of food,nan,nan
1431,し,身長計,height meter /height,,粗大ごみ,Oversized garbage,,,身長計,Height meter,height meter,nan,nan
1432,し,食品の紙容器(油汚れがついているもの),paper food container (with oil stains),,燃やすごみ,Burnable garbage,,,食品の紙容器(油汚れがついているもの),Food container (with oil stains),food container (with oil stains),nan,nan
1433,し,しかけ絵本,picture book,,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),プラスチック・布などのパーツは外して燃やすごみへ。,Remove parts such as plastic and cloth to burn it.,しかけ絵本,Picture book,picture book,nan,nan
1434,し,食器(陶器・ガラス製),tableware (made of ceramic and glass),,燃えないごみ,Non-burnable garbage,,,食器(陶器・ガラス製),Tableware (made of pottery and glass),tableware (made of pottery and glass),nan,nan
1435,し,自撮り棒,selfie stick,,小さな金属類,Small metal items,30cm以上のものは粗大ごみヘ。プラスチック製のものは燃やすごみへ。,Those of 30 cm or more are oversized garbage. Plastic ones are burned to burn.,自撮り棒,Selfie stick,selfie stick,nan,nan
1436,し,抜き型(プラスチック製)、クッキー型(プラスチック製),cutting die (made of plastic) /cookie cutter,,燃やすごみ,Burnable garbage,金属製のものは小さな金属類へ。,Metal ones go to Small metal itemss.,抜き型(プラスチック製),Unplugged type (made of plastic),unplugged type (made of plastic),nan,nan
1437,し,自転車・バイクのアクセサリー/パーツ(金属製),bicycle/motorcycle accessories/parts (metal),,小さな金属類,Small metal items,30cm以上のものは粗大ごみヘ。バイク本体などは販売店へ相談。,"Those of 30 cm or more are oversized garbage. Consult the dealer for motorcycles, etc.",自転車・バイクのアクセサリー/パーツ(金属製),Bicycle/motorcycle accessories/parts (metal),bicycle/motorcycle accessories/parts (metal),nan,nan
1438,し,自転車・バイクのアクセサリー(金属製以外),bicycle / motorcycle accessories (other than metal),,燃やすごみ,Burnable garbage,,,自転車・バイクのアクセサリー(金属製以外),Bicycle / motorcycle accessories (other than metal),bicycle / motorcycle accessories (other than metal),nan,nan
1439,し,収納用バッグ、ランドリーバッグ,storage bag / laundry bag,,燃やすごみ,Burnable garbage,畳んで50cm以上のものは粗大ごみ。,Folding and more than 50 cm are oversized garbage.,収納用バッグ、ランドリーバッグ,Storage bag、 laundry bag,storage bag、 laundry bag,nan,nan
1440,し,シャワーフック,shower hook,,燃やすごみ,Burnable garbage,金属製のものは小さな金属類へ。,Metal ones go to Small metal itemss.,シャワーフック,Shower hook,shower hook,nan,nan
1441,し,収納ボックス(布製),storage box (cloth),,燃やすごみ,Burnable garbage,50cmを超えるものは粗大ごみ。,Those that exceed 50cm are oversized garbage.,収納ボックス(布製),Storage box (cloth),storage box (cloth),nan,nan
1442,し,シェイカーボトル(プラスチック製)、シェイカー(プラスチック製),shaker bottle (made of plastic),,燃やすごみ,Burnable garbage,,,シェイカーボトル(プラスチック製),Shaker bottle (made of plastic),shaker bottle (made of plastic),nan,nan
1443,し,自転車キャリア(車用),bicycle carrier (for car),,粗大ごみ,Oversized garbage,プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ。,Made of plastic and less than 50cm to burn garbage. Metal and less than 30 cm to Small metal itemss.,自転車キャリア(車用),Bicycle carrier (for car),bicycle carrier (for car),nan,nan
1444,し,植物の実・種子、木の実、,fruit /seed of plants,,燃やすごみ,Burnable garbage,,,植物の実・種,Plant fruit / species,plant fruit / species,nan,nan
1445,し,シャツオーガナイザー,shirt organizer,,燃やすごみ,Burnable garbage,,,シャツオーガナイザー,Shirt organizer,shirt organizer,nan,nan
1446,し,ショッパー(ビニール製),shopper (made of vinyl),,プラスチック製容器包装,Plastic containers and packaging,,,ショッパー(ビニール製),Shopper (made of vinyl),shopper (made of vinyl),nan,nan
1447,し,ショッパー(紙製),shopper (made of paper),,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),ビニール製などのひもは取り除く。,Remove strings such as vinyl.,ショッパー(紙製),Shopper (made of paper),shopper (made of paper),nan,nan
1448,し,ショッパー(布製),shopper (cloth),,燃やすごみ,Burnable garbage,,,ショッパー(布製),Shopper (cloth),shopper (cloth),nan,nan
1449,す,酢(食酢・調味酢)の入っていたペットボトル,pet bottle containing vinegar (vinegar / seasoning vinegar),,缶・びん・ペットボトル,Cans、 bottles、 PET bottles,ペットボトルマークを確認。,Check the plastic bottle mark.,酢(食酢・調味酢)の入っていたペットボトル,PET bottle containing vinegar (vinegar / seasoning vinegar),pet bottle containing vinegar (vinegar / seasoning vinegar),nan,nan
1450,す,水筒(プラスチック製)、マイボトル(プラスチック製),bottle (made of plastic) /my bottle (made of plastic) /water bottle(made of plastic),,燃やすごみ,Burnable garbage,,,水筒(プラスチック製),Water bottle (made of plastic),water bottle (made of plastic),nan,nan
1451,す,水筒(金属製)、マイボトル(金属製),bottle (metal) /my bottle (metal) /water bottle(metal),,小さな金属類,Small metal items,プラスチック製のキャップなどは燃やすごみへ、30cm以上のものは粗大ごみへ。,"Plastic caps, etc. should be disposed of as combustible garbage, and items larger than 30 cm should be disposed of as oversized garbage.",水筒(金属製),Water bottle (metal),water bottle (metal),nan,nan
1452,す,炊飯器(プラスチック製)、炊飯ジャー(プラスチック製),rice cooker (made of plastic),,燃やすごみ,Burnable garbage,内釜・内蓋は小さな金属類へ。50cm以上のものは粗大ごみへ。,"Inner pots and inner lids are to Small metal itemss. If it is more than 50 cm, go to oversized garbage.",炊飯器(プラスチック製),Rice cooker (made of plastic),rice cooker (made of plastic),nan,nan
1453,す,炊飯器(金属製)、炊飯ジャー(金属製),rice cooker (metal),,小さな金属類,Small metal items,30cm以上のものは粗大ごみへ。,"If you are 30cm or more, go to oversized garbage.",炊飯器(金属製),Rice cooker (metal),rice cooker (metal),nan,nan
1454,す,炊飯器の内釜、炊飯釜,inner pot of rice cooker,,小さな金属類,Small metal items,30cm以上のものは粗大ごみへ。炭製の物は燃えないごみへ(「炭製の内釜」と明記する)。,"If you are more than 30cm, go to oversized garbage. Charcoal items are not burned (specified as ""charcoal inner pot"").",炊飯器の内釜,Inner pot of rice cooker,inner pot of rice cooker,nan,nan
1455,す,スーツ,suit,,古布,Used Cloth,汚れ等を落としてから。,After removing dirt etc.,スーツ,suit,suit,nan,nan
1456,す,スーツケース(旅行用),suitcase (for travel),,粗大ごみ,Oversized garbage,,,スーツケース(旅行用),Suitcase (for travel),suitcase (for travel),nan,nan
1457,す,スカーフ,scarf,,古布,Used Cloth,洗濯して乾かしてから。,After washing and drying.,スカーフ,scarf,scarf,nan,nan
1458,す,スキー・スノーボード板、ストック,ski / snowboard board / stock,,粗大ごみ,Oversized garbage,,,スキー・スノーボード板、ストック,Ski / Snowboard board、 stock,ski / snowboard board、 stock,nan,nan
1459,す,スキー・スノーボード用ブーツ,ski / snowboard boots,,燃やすごみ,Burnable garbage,,,スキー・スノーボード用ブーツ,Ski / Snowboard boots,ski / snowboard boots,nan,nan
1460,す,スチール缶・アルミ缶(飲料用・食品用)、空き缶(飲料用・食品用),steel cans / aluminum cans (for beverage and food),,缶・びん・ペットボトル,Cans、 bottles、 PET bottles,飲料・食品用以外で30cm未満のものは小さな金属類へ。30cm以上は粗大ごみ。,"For less than 30cm other than drinks and foods, go to Small metal itemss. 30cm or more is oversized garbage.",スチール缶・アルミ缶(飲料用・食品用),Steel cans、 aluminum cans (for beverage and food),steel cans、 aluminum cans (for beverage and food),nan,nan
1461,す,ストーブ、石油ストーブ,stove /kerosene stove,,粗大ごみ,Oversized garbage,灯油・電池は抜く。プラスチック製で50cm未満のものは燃やすごみへ。,Pull kerosene and batteries. Made of plastic and less than 50cm to burn it.,ストーブ,Stove,stove,nan,nan
1462,す,ストッキング,stockings,,燃やすごみ,Burnable garbage,,,ストッキング,stockings,stockings,nan,nan
1463,す,ストッキングの外包装,outside packaging of stockings,,プラスチック製容器包装,Plastic containers and packaging,,,ストッキングの外包装,Outside packaging of stockings,outside packaging of stockings,nan,nan
1464,す,ストッキングの中台紙(紙製),inner mount (made of paper),,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),,,ストッキングの中台紙(紙製),Medium mount (made of paper),medium mount (made of paper),nan,nan
1465,す,ストロー、プラスチックストロー、紙ストロー,straw /plastic straw /paper straw,,燃やすごみ,Burnable garbage,,,ストロー,straw,straw,nan,nan
1466,す,ストローの外袋(紙製),straw outer bag (made of paper),,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),,,ストローの外袋(紙製),Straw outer bag (made of paper),straw outer bag (made of paper),nan,nan
1467,す,ストローの外袋(プラスチック製),straw outer bag (made of plastic),,プラスチック製容器包装,Plastic containers and packaging,,,ストローの外袋(プラスチック製),Straw's outer bag (made of plastic),straw's outer bag (made of plastic),nan,nan
1468,す,スニーカー,sneakers,,燃やすごみ,Burnable garbage,,,スニーカー,sneakers,sneakers,nan,nan
1469,す,スパイクシューズ,spike shoes,,燃やすごみ,Burnable garbage,金具部分は小さな金属類へ。,The bracket part is to a Small metal items.,スパイクシューズ,Spike shoes,spike shoes,nan,nan
1470,す,スプーン(木製・プラスチック製),spoon (wooden / plastic),,燃やすごみ,Burnable garbage,使い捨てタイプの包装部分のビニールはプラスチック製容器包装へ。,The vinyl of the disposable type wrapping part is to the plastic container wrapping.,スプーン(木製・プラスチック製),Spoon (wooden / plastic),spoon (wooden / plastic),nan,nan
1472,す,スプーン(金属製),spoon (metal),,小さな金属類,Small metal items,,,スプーン(金属製),Spoon (metal),spoon (metal),nan,nan
1473,す,スプーンの包装(プラスチック製),spoon packaging (made of plastic),,プラスチック製容器包装,Plastic containers and packaging,プリンなどで使用するもの。,Things used in pudding.,スプーンの包装(プラスチック製),Spoon wrapping (made of plastic),spoon wrapping (made of plastic),nan,nan
1474,す,スプリングマットレス,spring mattress,,粗大ごみ,Oversized garbage,,,スプリングマットレス,Spring mattress,spring mattress,nan,nan
1475,す,ズボン、スラックス,pants / slacks,,古布,Used Cloth,洗濯して乾かしてから。,After washing and drying.,ズボン、スラックス,Pants、 slacks,pants、 slacks,nan,nan
1476,す,スポンジ,sponge,,燃やすごみ,Burnable garbage,,,スポンジ,sponge,sponge,nan,nan
1477,す,スポンジの外包装(プラスチック製),sponge outer packaging (made of plastic),,プラスチック製容器包装,Plastic containers and packaging,,,スポンジの外包装(プラスチック製),Sponge outer packaging (made of plastic),sponge outer packaging (made of plastic),nan,nan
1478,す,スリッパ,slipper,,燃やすごみ,Burnable garbage,,,スリッパ,slipper,slipper,nan,nan
1479,す,すりばち(陶器製)、すり鉢(陶器製),mortar (made of pottery),,燃えないごみ,Non-burnable garbage,新聞紙等に包み品名を表示する。木製すりこぎは、燃やすごみへ。,Wrap the product name in newspapers. Wooden rubbing is to burn Burnable garbage.,すりばち(陶器製),Soribachi (made of pottery),soribachi (made of pottery),nan,nan
1480,す,水槽,aquarium,,粗大ごみ,Oversized garbage,50cm未満の場合、プラスチック製は燃やすごみ、ガラス製は燃えないごみへ。,"If it is less than 50cm, plastic is burned, glass is not burned.",水槽,Aquarium,aquarium,nan,nan
1481,す,スエットスーツ,sweatsuit,,古布,Used Cloth,ゴム製・ビニール製のものは燃やすごみ。,Rubber and vinyl ones are Burnable garbage.,スエットスーツ,Sweatsuit,sweatsuit,nan,nan
